,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,,299,300,279,278,298,280,297,278,260,262,266,263,279,298,276,268,300,278,279
1,299,,299,280,279,299,279,298,279,261,261,267,264,280,299,277,269,299,279,278
2,300,299,,279,278,298,280,297,278,260,262,266,263,279,298,276,268,300,278,279
3,279,280,279,,299,279,263,278,299,279,247,280,278,300,279,260,280,279,266,262
4,278,279,278,299,,278,262,277,298,278,247,279,277,299,278,259,279,278,266,261
5,298,299,298,279,278,,278,299,278,260,260,266,263,279,298,278,268,298,280,277
6,280,279,280,263,262,278,,277,262,248,280,260,252,263,280,265,259,280,263,299
7,297,298,297,278,277,299,277,,277,259,259,265,262,278,297,279,267,297,279,276
8,278,279,278,299,298,278,262,277,,280,246,279,279,299,278,259,279,278,265,261
9,260,261,260,279,278,260,248,259,280,,235,263,267,279,261,250,263,260,251,247
10,262,261,262,247,247,260,280,259,246,235,,246,239,247,262,251,245,262,251,279
11,266,267,266,280,279,266,260,265,279,263,246,,265,280,268,254,264,266,254,259
12,263,264,263,278,277,263,252,262,279,267,239,265,,278,263,249,261,263,251,251
13,279,280,279,300,299,279,263,278,299,279,247,280,278,,279,260,280,279,266,262
14,298,299,298,279,278,298,280,297,278,261,262,268,263,279,,278,268,298,278,279
15,276,277,276,260,259,278,265,279,259,250,251,254,249,260,278,,249,276,263,264
16,268,269,268,280,279,268,259,267,279,263,245,264,261,280,268,249,,268,254,258
17,300,299,300,279,278,298,280,297,278,260,262,266,263,279,298,276,268,,278,279
18,278,279,278,266,266,280,263,279,265,251,251,254,251,266,278,263,254,278,,262
19,279,278,279,262,261,277,299,276,261,247,279,259,251,262,279,264,258,279,262,
